State,City,Counties Covered,Phone,Website
New Mexico,Albuquerque,"Bernalillo, Catron, Cibola (Eastern half), Guadalupe,
Quay, Sandoval (southern corner), Socorro, Torrence,
Valencia",505-889-1300,albuquerque.fbi.gov
New York,Albany,"Albany, Fulton, Hamilton, Montgomery, Rensselaer, 
Saratoga, Schenectady, Schoharie, Warren, 
Washington",518-465-7551,albany.fbi.gov
New York,Buffalo,17 counties in western New York,716-856-7800,buffalo.fbi.gov
New York,New York City,"New York city, 8 counties in New York state, La 
Guardia and John F. Kennedy airports",212-384-1000,newyork.fbi.gov
North Carolina,Charlotte,All counties in North Carolina,704-672-6100,charlotte.fbi.gov
North Dakota,Minneapolis,All counties in North Dakota,763-569-8000,minneapolis.fbi.gov
Ohio,Cincinnati,48 counties in central and southern Ohio,513-421-4310,cincinnati.fbi.gov
Ohio,Cleveland,40 counties in Ohio,216-522-1400,cleveland.fbi.gov
Oklahoma,Oklahoma City,All counties in Oklahoma,405-290-7770,oklahomacity.fbi.gov
Oregon,Portland,All counties in Oregon,503-224-4181,portland.fbi.gov
Pennsylvania,Philadelphia,Eastern Pennsylvania,215-418-4000,philadelphia.fbi.gov
Pennsylvania,Pittsburgh,25 counties in western Pennsylvania,412-432-4000,pittsburgh.fbi.gov
Puerto Rico,San Juan,All counties in Puerto Rico,787-754-6000,sanjuan.fbi.gov
Rhode Island,Boston (MA),All counties in Rhode Island,857-386-2000,boston.fbi.gov
Saipan,Honolulu (HI),All counties in Saipan,808-566-4300,honolulu.fbi.gov
South Carolina,Columbia,All counties in South Carolina,803-551-4200,columbia.fbi.gov
South Dakota,Minneapolis,All counties in South Dakota,763-569-8000,minneapolis.fbi.gov
Tennessee,Knoxville,41 counties in eastern Tennessee,865-544-0751,knoxville.fbi.gov
Tennessee,Memphis,54 counties in western Tennessee,901-747-4300,memphis.fbi.gov
Texas,Dallas,"137 counties in North Texas and portions of East and
West Texas",972-559-5000,dallas.fbi.gov
Texas,El Paso,17 counties in western Texas,915-832-5000,elpaso.fbi.gov
Texas,Houston,40 counties in southeastern Texas,713-693-5000,houston.fbi.gov
Texas,San Antonio,"Counties covered: Atascosa, Bandera, Bexar, Comal,
Frio, Gillespie, Gonzalez, Guadalupe, Karnes, 
Kendall, Kerr, Kimble, Mason, Medina, Real, Uvalde,
and Wilson",210-225-6741,sanantonio.fbi.gov
US Virgin Islands,San Juan (PR),All counties in the US Virgin Islands,787-754-6000,sanjuan.fbi.gov
Utah,Salt Lake City,All counties in Utah,801-579-1400,saltlakecity.fbi.gov
Virginia,Norfolk,Southeastern Virginia,757-455-0100,norfolk.fbi.gov
Virginia,Richmond,"Most state of Virginia, except Northern Virginia and
Eastern Shore",804-261-1044,richmond.fbi.gov
Virginia,Washington DC,Northern Virginia,202-278-2000,washingtondc.fbi.gov
Washington,Seattle,All counties in Washington,206-622-0460,seattle.fbi.gov
West Virginia,Pittsburgh (PA),All coutnies in West Virginia,412-432-4000,pittsburgh.fbi.gov
Wisconsin,Milwaukee,All counties in Wisconsin,414-276-4684,milwaukee.fbi.gov
Wyoming,Denver (CO),All counties in Wyoming,303-629-7171,denver.fbi.gov
